country,iso3,merge_note,total_listed,n_selected,n_bib_gourmand,n_one_star,n_two_star,n_three_star,n_total_starred,weighted_stars,pct_starred,pct_upper_tier,pct_bib_gourmand,n_green_star,n_cities_covered,pct_pricing_affordable,pct_pricing_mid_range,pct_pricing_premium,pct_pricing_luxury,median_price_floor_usd_all,median_price_floor_usd_starred,top_cuisine_starred,gdp_per_capita_usd_2022,gdp_per_capita_usd_2023,gdp_per_capita_usd_2024,gdp_source,urban_pct_2022,urban_pct_2023,urban_pct_2024,urban_source,tourism_2022,tourism_2023,tourism_2024,tourism_confidence,tourism_source,restaurant_count,restaurant_count_year,restaurant_confidence,restaurant_nace_equiv,restaurant_source,star_density_per_100k_restaurants,stars_per_million_tourists,stars_per_10k_gdp
Argentina,ARG,,75,55,10,9,1,0,10,11,13.3333,10.0,13.3333,0,2,5.3333,30.6667,33.3333,30.6667,32.26,71.69,Modern Cuisine,13962.19,14261.85,13969.78,World Bank WDI (NY.GDP.PCAP.CD),92.1128,92.1945,92.2742,World Bank WDI (SP.URB.TOTL.IN.ZS),3800000.0,7200000,6600000.0,HIGH,UNWTO / national tourism authorities,80000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,12.5,1.3889,7.0117
Austria,AUT,,374,256,39,59,18,2,79,101,21.123,25.3165,10.4278,0,185,0.5348,35.2941,30.7487,33.4225,69.27,115.45,Creative,52336.77,56579.5,58268.88,World Bank WDI (NY.GDP.PCAP.CD),68.9981,69.2265,69.4658,World Bank WDI (SP.URB.TOTL.IN.ZS),26200000.0,30900000,32200000.0,HIGH,UNWTO / national tourism authorities,22000,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,359.0909,2.5566,13.9627
Belgium,BEL,,735,493,118,104,18,2,124,146,16.8707,16.129,16.0544,0,376,0.8163,34.8299,49.6599,14.6939,69.27,115.45,Creative,50605.75,55291.48,56614.57,World Bank WDI (NY.GDP.PCAP.CD),87.4892,87.5515,87.6127,World Bank WDI (SP.URB.TOTL.IN.ZS),8220000.0,10000000,11000000.0,MEDIUM,UNWTO / national tourism authorities,25000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,496.0,12.4,22.4266
Brazil,BRA,,140,77,39,19,5,0,24,29,17.1429,20.8333,27.8571,0,2,9.2857,40.0,36.4286,14.2857,47.34,104.16,Japanese,9281.33,10377.59,10310.55,World Bank WDI (NY.GDP.PCAP.CD),87.3496,87.616,87.8959,World Bank WDI (SP.URB.TOTL.IN.ZS),3600000.0,5900000,6700000.0,HIGH,UNWTO / national tourism authorities,500000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,4.8,4.0678,23.1268
Canada,CAN,,280,184,58,36,2,0,38,40,13.5714,5.2632,20.7143,0,34,2.1429,30.3571,34.2857,33.2143,51.02,76.54,Japanese,56256.8,54220.33,54340.35,World Bank WDI (NY.GDP.PCAP.CD),82.3501,82.5251,82.7003,World Bank WDI (SP.URB.TOTL.IN.ZS),12800000.0,18300000,20000000.0,HIGH,UNWTO / national tourism authorities,67119,2024,HIGH,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,56.6159,2.0765,7.0084
China Mainland,CHN,,663,271,252,116,21,3,140,167,21.1161,17.1429,38.009,0,12,22.9261,36.3499,28.8084,11.9155,14.49,57.97,Cantonese,12720.0,12614.0,13141.0,World Bank WDI (NY.GDP.PCAP.CD) — hardcoded from WB country pages (missing from batch pull),65.22,66.16,67.05,World Bank WDI (SP.URB.TOTL.IN.ZS) — hardcoded from WB country pages,,35500000,64900000.0,HIGH,UNWTO / national tourism authorities,9300000,2020,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents,1.5054,3.9437,110.9878
Croatia,HRV,,98,73,12,12,1,0,13,14,13.2653,7.6923,12.2449,0,43,0.0,40.8163,38.7755,20.4082,69.27,115.45,Modern Cuisine,18465.54,22184.23,24050.44,World Bank WDI (NY.GDP.PCAP.CD),56.9978,57.2432,57.5159,World Bank WDI (SP.URB.TOTL.IN.ZS),18000000.0,21000000,23000000.0,MEDIUM,UNWTO / national tourism authorities,15000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,86.6667,0.619,5.86
Czech Republic,CZE,,79,52,18,8,1,0,9,10,11.3924,11.1111,22.7848,0,24,7.5949,40.5063,39.2405,12.6582,56.61,94.36,Modern Cuisine,28282.22,31761.59,31823.31,World Bank WDI (NY.GDP.PCAP.CD),72.6968,72.7352,72.7948,World Bank WDI (SP.URB.TOTL.IN.ZS),10000000.0,13000000,15000000.0,MEDIUM,UNWTO / national tourism authorities,30000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,30.0,0.6923,2.8336
Denmark,DNK,,101,44,20,27,8,2,37,49,36.6337,27.027,19.802,0,27,32.6733,19.802,19.802,27.7228,92.76,278.27,Creative,67781.09,68043.55,71026.48,World Bank WDI (NY.GDP.PCAP.CD),88.388,88.5526,88.6961,World Bank WDI (SP.URB.TOTL.IN.ZS),15595000.0,18000000,20000000.0,MEDIUM,UNWTO / national tourism authorities,17000,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,217.6471,2.0556,5.4377
Estonia,EST,,39,30,7,1,1,0,2,3,5.1282,50.0,17.9487,0,9,2.5641,74.359,7.6923,15.3846,40.41,115.45,Creative,28340.38,30264.01,31428.35,World Bank WDI (NY.GDP.PCAP.CD),70.4892,70.677,70.6981,World Bank WDI (SP.URB.TOTL.IN.ZS),3497000.0,4200000,4700000.0,MEDIUM,UNWTO / national tourism authorities,4000,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,50.0,0.4762,0.6609
Finland,FIN,,31,20,4,6,1,0,7,8,22.5806,14.2857,12.9032,0,4,0.0,25.8065,41.9355,32.2581,69.27,115.45,Modern Cuisine,50440.56,52834.29,53149.77,World Bank WDI (NY.GDP.PCAP.CD),73.6968,74.0063,74.2637,World Bank WDI (SP.URB.TOTL.IN.ZS),3000000.0,3800000,4200000.0,MEDIUM,UNWTO / national tourism authorities,12000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents,58.3333,1.8421,1.3249
France,FRA,Andorra + Principality of Monaco merged into France (tourism/restaurant counts summed; GDP/urban from France),3087,1988,430,554,84,31,669,815,21.6715,17.1898,13.9294,0,1443,1.7169,50.5345,28.1827,19.5659,40.41,115.45,Modern Cuisine,40988.64,44700.14,46103.08,World Bank WDI (NY.GDP.PCAP.CD),78.7592,78.7804,78.8,World Bank WDI (SP.URB.TOTL.IN.ZS),88154000.0,109380000,111920000.0,HIGH,UNWTO / national tourism authorities,178330,2023,HIGH,NACE_56.1_exact,Eurostat NACE 56.1 / national equivalents,375.1472,6.1163,149.664
